% # columns="iteration, evaluation, void, void, void, xmean", seed=414859, Sat May  9 10:18:14 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 12 0 0 0 -3.8197802472330613 -1.44857687958792 -0.6743999213653002 -2.339577980432541 0.5974920917859408 0.1639802662272268 1.0659844016151403 2.369774777997778 1.1788524026969835 3.900635035621355 5.0327581349746655 -1.05066168071176 -0.7510529352385409 -3.1131195870781565 -2.6340539710553394 -1.1356234002942098 -2.0864741043039476 0.738322643729557
2 24 0 0 0 -3.978121968350092 -0.8437903060444345 -0.7612460920963379 -2.6891066190014876 0.6603117216388914 0.4571326079055741 0.8476302747903499 2.095614450380176 1.8493000794938392 3.778139580373262 5.535582234786999 -0.7871771456825912 -0.004186346507148952 -3.314751899515943 -2.012664789404331 -0.4854101744306032 -2.486772157764854 1.491113532406709
3 36 0 0 0 -3.02941743790818 -1.4501927168731323 -0.8575554322174707 -2.9407043972150086 0.933859944139295 0.6997584089844749 0.7567069255969565 2.444883897903335 2.8052787679436797 3.5825282334843265 6.150326565938247 -1.9858526042768285 0.6608811329608342 -3.4901627783240254 -2.0005549756067835 -0.6565364604617854 -2.634494967792328 0.6537486453274979
4 48 0 0 0 -2.944811422984265 -1.695844407817308 -1.3417027975722595 -3.224184572629439 1.3240289152041191 0.8423156250510485 0.3160736669966059 2.5110022344985894 2.6367557436567504 3.8720228543031237 6.093676808610707 -1.952079494815977 0.6823925866075351 -2.8486658290616353 -2.613596785956845 0.13724924472313832 -1.6301883490196434 1.0019522818448214
5 60 0 0 0 -3.052132779857063 -1.5964315552232813 -0.8972435281525775 -3.0397523772292456 1.7099209721512378 0.9768487601993506 -0.11847048119895177 1.8714281612515937 2.8087811746648765 3.76785363553058 6.148899510991544 -1.6537299170783224 0.4144181246170915 -3.6464033209388194 -3.367110430531044 0.13552727168826897 -2.413677074429424 1.5755153359351601
6 72 0 0 0 -2.9616426685397546 -1.6995024744077636 -0.4326804286047736 -2.7885446493003885 2.4936705888773503 1.513241358195951 -0.035654941947403776 1.6525312794438836 2.1279307725754615 3.6198790059021038 6.282812173660614 -1.750027470489145 0.24965979334301217 -3.379073089744779 -2.475292424272667 -0.15104781413653842 -2.4257913745985644 0.7820674561190345
7 84 0 0 0 -3.234337227592086 -1.8818439769915074 -0.34847501845025763 -3.6638601897123326 1.7075102762577918 1.7770888881227547 -0.472105950590637 2.2701604373215076 2.5293054299044364 3.601167650976134 6.775467608139586 -2.425480242264319 1.1629682383510844 -3.052879029831314 -2.7484189000634944 0.2432233829195742 -2.020094522041913 0.2283430701318126
8 96 0 0 0 -3.6663866093622866 -1.9939988002007154 -0.2311820897660357 -3.2535723532613625 1.997567478359043 1.3203964458608808 -0.6491630066910692 2.181414724583989 2.301471078984887 3.826520854413616 6.670499470834266 -2.13834563463016 1.5723138894464712 -3.4081028679891823 -3.0787806487694542 0.08190550685821513 -2.167882542040017 0.25138821864672933
9 108 0 0 0 -3.94877290069613 -1.815251192199745 -0.16070159441078544 -3.764432518251212 1.3569782164459934 1.8185698346330603 -1.240382905811007 2.4742809194665862 1.6964320501648453 3.7723359947296853 6.818904807586794 -2.5634165953232184 1.7586376085233177 -2.66066016619606 -2.995055596591879 0.6547091836264034 -2.105166107659746 -1.0885187537477927
10 120 0 0 0 -4.325968617069642 -1.680039177651136 -0.10213673255833033 -3.243936964243783 0.9383874408239559 2.2851682521510983 -1.4525526781410005 2.438198964493533 2.066674403818058 3.1476161911489196 7.270163181527871 -1.8804643128130218 2.2660682988859175 -2.957949700306671 -3.5321825410097616 0.976731577168922 -1.9202904906821001 -0.9778799530258223
11 132 0 0 0 -4.628577925938857 -1.5878456607862756 -0.11486200963467602 -2.924032842215327 0.8157955910356416 1.9114919501869632 -1.0272634100771771 2.828092212550364 3.035510810159932 3.615253123633374 6.744115887469638 -2.0523503875219165 2.7499980611095562 -2.8836310302242696 -3.2945764587076205 1.0679804990491792 -1.101998475240443 -0.8240352094633934
12 144 0 0 0 -4.451004834730718 -1.3737593889615087 -0.3135740316740005 -2.1490293134270537 0.5450203655097406 1.3601743935331918 -1.1083294558895056 2.991213240849328 3.332928932414932 2.6573912986501527 7.19772506363272 -1.8397794458054895 3.4374627415512338 -2.465299044250837 -3.6351985798432302 1.1277053327832507 -1.563676995218025 -1.049723806541775
13 156 0 0 0 -4.434859809578007 -1.266101521210426 -0.7957593969564437 -2.6092110300608033 0.761457434727542 1.8012424056919265 -0.7745461394181083 2.5202307798869152 3.0646715008819667 2.410101424721259 7.82440178849507 -1.640459109168157 3.7813662415482887 -2.749679960712441 -4.3459473349077955 0.5116802486506882 -1.4607675167619598 -0.5642217920157958
14 168 0 0 0 -3.9488935506936347 -1.4504673327689286 -0.45021023190811216 -2.514373162645619 0.9989033544002648 1.3285119084968111 -0.6451796908414906 2.763029791888119 3.0124012133175917 2.0950101416379487 8.328216045090313 -1.7697371709417808 3.7011514607395757 -2.56550183485901 -3.8587644762084516 0.6740573501274487 -1.9403782920150698 -0.7414679265308971
15 180 0 0 0 -3.963819686181097 -1.5020852515279932 -0.3030098461377629 -2.191490144730489 0.8013288632062748 1.5398964916173303 0.1565957322699839 2.9364039322650948 2.424839709171399 1.4389388524447901 7.491142180989393 -2.219734276353717 3.9986101730624073 -1.8783370563220654 -2.955636502682875 -0.014991708417000524 -2.0367039362072004 -0.27349572305816844
16 192 0 0 0 -3.985726385101392 -1.596900680552216 -0.6844734907041763 -1.9839911279855886 0.18082363248314243 0.9746156104651192 0.5834891192907385 3.076645446517298 3.212238053017732 2.379382349097636 8.18920431342637 -2.016396461835791 3.038007799791853 -1.9587418573220434 -3.0233165827779005 0.3283370123150716 -1.88656917564125 -0.06992615457606158
17 204 0 0 0 -4.8126075991274115 -1.3649578752951217 -0.41265465466107154 -2.29397818498049 0.38135094385070506 0.6027065704926036 0.6835065843989312 3.3469900082392643 2.7160196539904233 2.6223585438358397 8.22524253401863 -1.1662263320038428 2.5488773293243154 -2.485775205587196 -2.7013530332975964 0.27059084460015076 -2.122376628264937 0.05248267363728527
